epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.672,1.45129,3.11476,1.6269,0.6673,0.65639,0.69742,0.46098,1.25114,3.22014,1.4841,0.00332837,0.00332837,0.00332837
2,281.46,1.37251,2.24258,1.51353,0.83765,0.62844,0.74717,0.52928,1.15037,2.19731,1.3692,0.00659575,0.00659575,0.00659575
3,415.252,1.4613,2.03444,1.56856,0.70592,0.60481,0.66876,0.44574,1.35686,2.61219,1.53381,0.00979713,0.00979713,0.00979713
4,557.123,1.50408,1.92126,1.60546,0.74823,0.66454,0.72941,0.48678,1.35823,2.09157,1.54043,0.009703,0.009703,0.009703
5,690.647,1.43595,1.70462,1.55221,0.73003,0.7428,0.77788,0.52041,1.30959,1.41314,1.43199,0.009604,0.009604,0.009604
6,832.375,1.38777,1.58922,1.51478,0.79365,0.74724,0.8214,0.58109,1.22159,1.30761,1.39664,0.009505,0.009505,0.009505
7,965.486,1.35352,1.50103,1.48848,0.84163,0.81857,0.88072,0.61425,1.13526,1.12339,1.31,0.009406,0.009406,0.009406
8,1107.24,1.31589,1.42364,1.46686,0.87538,0.86572,0.91107,0.66516,1.08077,0.96711,1.28898,0.009307,0.009307,0.009307
9,1240.48,1.28453,1.34974,1.43971,0.90051,0.88296,0.92168,0.67467,1.07673,0.90512,1.27137,0.009208,0.009208,0.009208
10,1373.48,1.2624,1.3116,1.42997,0.84866,0.87412,0.91537,0.6722,1.01567,0.87717,1.23059,0.009109,0.009109,0.009109
11,1506.52,1.24203,1.24463,1.4092,0.9089,0.84527,0.91906,0.68812,0.99008,0.85546,1.20521,0.00901,0.00901,0.00901
12,1639.66,1.21502,1.2137,1.38389,0.88923,0.89303,0.93291,0.69363,1.03862,0.81637,1.24218,0.008911,0.008911,0.008911
13,1772.65,1.20764,1.1999,1.38405,0.88825,0.8761,0.9239,0.69572,0.99196,0.80449,1.21397,0.008812,0.008812,0.008812
14,1905.63,1.19522,1.17449,1.37683,0.89441,0.85682,0.93322,0.71322,0.98491,0.75162,1.20801,0.008713,0.008713,0.008713
15,2038.85,1.17017,1.11851,1.36272,0.87177,0.88817,0.92565,0.70229,0.96194,0.74139,1.19763,0.008614,0.008614,0.008614
16,2180.79,1.17085,1.10931,1.36041,0.90951,0.92012,0.94415,0.72159,0.95608,0.70019,1.187,0.008515,0.008515,0.008515
17,2313.45,1.15546,1.09938,1.34623,0.90135,0.87027,0.93676,0.71697,0.95044,0.71115,1.17448,0.008416,0.008416,0.008416
18,2446.21,1.15539,1.09314,1.34301,0.921,0.88323,0.94806,0.73633,0.90473,0.67191,1.14858,0.008317,0.008317,0.008317
19,2579.17,1.13851,1.07104,1.3302,0.90524,0.90777,0.94772,0.73658,0.90507,0.66113,1.1434,0.008218,0.008218,0.008218
20,2712.09,1.1222,1.04801,1.3196,0.92415,0.90943,0.94878,0.75266,0.87317,0.64318,1.11946,0.008119,0.008119,0.008119
21,2844.76,1.10303,1.02601,1.30523,0.91873,0.92998,0.9551,0.75406,0.86415,0.61959,1.11517,0.00802,0.00802,0.00802
22,2977.95,1.11309,1.02029,1.31453,0.91142,0.92753,0.95036,0.76307,0.86284,0.59461,1.11695,0.007921,0.007921,0.007921
23,3110.81,1.10997,0.99717,1.30636,0.91029,0.93482,0.95423,0.75575,0.87381,0.6024,1.11281,0.007822,0.007822,0.007822
24,3243.39,1.09964,1.00176,1.30009,0.92381,0.93861,0.95188,0.75638,0.8677,0.59418,1.11744,0.007723,0.007723,0.007723
