epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.855,1.44521,2.60777,1.57466,0.58344,0.53966,0.57419,0.35899,1.43367,2.556,1.60432,0.000475623,0.000475623,0.000475623
2,296.271,1.46844,1.89554,1.56708,0.785,0.64112,0.75436,0.51775,1.30711,1.67513,1.44522,0.000933108,0.000933108,0.000933108
3,435.875,1.43669,1.73039,1.54674,0.67202,0.59123,0.63978,0.40818,1.32888,1.69909,1.46443,0.00137173,0.00137173,0.00137173
4,584.173,1.40402,1.60809,1.52486,0.86375,0.73515,0.83739,0.58436,1.24569,1.237,1.42635,0.00134412,0.00134412,0.00134412
5,720.29,1.33151,1.47606,1.47673,0.82487,0.82433,0.88006,0.61494,1.19469,1.11611,1.35946,0.00131582,0.00131582,0.00131582
6,855.271,1.29669,1.40968,1.45145,0.85371,0.80825,0.8863,0.65954,1.07202,1.02526,1.27879,0.00128753,0.00128753,0.00128753
7,990.018,1.26865,1.32798,1.43205,0.88721,0.84077,0.91869,0.66442,1.05423,0.89541,1.26192,0.00125923,0.00125923,0.00125923
8,1135.07,1.23964,1.28549,1.41637,0.90541,0.87983,0.92074,0.69391,1.01483,0.8592,1.23467,0.00123094,0.00123094,0.00123094
9,1273.83,1.2182,1.24367,1.395,0.89832,0.8787,0.92659,0.69859,1.05237,0.84639,1.24962,0.00120265,0.00120265,0.00120265
10,1412.67,1.19903,1.1928,1.39106,0.90617,0.85803,0.92667,0.69116,0.97884,0.84794,1.22596,0.00117435,0.00117435,0.00117435
11,1551.93,1.18067,1.14601,1.36753,0.89528,0.88322,0.93739,0.7195,0.94875,0.73426,1.16638,0.00114606,0.00114606,0.00114606
12,1700.53,1.16466,1.12746,1.35449,0.89323,0.90986,0.93432,0.70992,0.9612,0.73926,1.18282,0.00111776,0.00111776,0.00111776
13,1836.31,1.15219,1.10805,1.35109,0.92066,0.8925,0.94106,0.73699,0.91423,0.70398,1.1503,0.00108947,0.00108947,0.00108947
14,1970.17,1.13976,1.08787,1.34508,0.90992,0.88409,0.94376,0.73362,0.92478,0.68458,1.16701,0.00106118,0.00106118,0.00106118
15,2104.45,1.11732,1.03428,1.32878,0.89915,0.90629,0.94508,0.74114,0.9284,0.66234,1.16349,0.00103288,0.00103288,0.00103288
16,2247.41,1.11415,1.02572,1.32281,0.89267,0.93556,0.95039,0.7563,0.87381,0.61887,1.12831,0.00100459,0.00100459,0.00100459
17,2381.84,1.09372,1.0068,1.30708,0.87956,0.8964,0.93529,0.73741,0.88597,0.66517,1.12567,0.000976293,0.000976293,0.000976293
18,2525.08,1.09325,1.00668,1.30843,0.9039,0.93612,0.95459,0.75465,0.86576,0.6169,1.11494,0.000947999,0.000947999,0.000947999
19,2659.4,1.08079,0.98325,1.30248,0.93389,0.9151,0.95717,0.75981,0.86591,0.60042,1.12706,0.000919704,0.000919704,0.000919704
20,2796.08,1.06292,0.95895,1.28708,0.91998,0.92891,0.95595,0.75866,0.85472,0.59459,1.10938,0.00089141,0.00089141,0.00089141
21,2930.97,1.04913,0.94435,1.27501,0.91914,0.91377,0.95413,0.765,0.83882,0.58384,1.10546,0.000863116,0.000863116,0.000863116
22,3065.65,1.05324,0.9341,1.27996,0.93081,0.93487,0.95923,0.77565,0.84737,0.56281,1.09768,0.000834822,0.000834822,0.000834822
23,3200.02,1.04925,0.92265,1.27451,0.9352,0.93486,0.95483,0.76794,0.84124,0.56601,1.09367,0.000806528,0.000806528,0.000806528
24,3337.2,1.04245,0.91087,1.27051,0.92479,0.93149,0.95242,0.77149,0.82334,0.55942,1.08848,0.000778233,0.000778233,0.000778233
25,3471.52,1.01558,0.87852,1.25239,0.93644,0.90372,0.95941,0.77181,0.82381,0.5313,1.08491,0.000749939,0.000749939,0.000749939
26,3606.12,1.02616,0.88067,1.25771,0.93419,0.93292,0.96193,0.78491,0.81831,0.51407,1.06984,0.000721645,0.000721645,0.000721645
27,3740.48,1.01219,0.87736,1.24543,0.93342,0.94839,0.96361,0.78258,0.81171,0.52014,1.07423,0.000693351,0.000693351,0.000693351
28,3884.42,0.99226,0.86359,1.23499,0.92052,0.94549,0.96315,0.78076,0.84278,0.52746,1.08995,0.000665057,0.000665057,0.000665057
29,4018.82,0.99527,0.84882,1.24263,0.92302,0.96463,0.96275,0.78901,0.80521,0.49673,1.0686,0.000636762,0.000636762,0.000636762
30,4153.17,0.9823,0.8222,1.22595,0.92142,0.94795,0.9701,0.79473,0.80912,0.4889,1.0697,0.000608468,0.000608468,0.000608468
31,4287.77,0.97473,0.83106,1.22662,0.94428,0.94045,0.96242,0.78981,0.80329,0.49596,1.06624,0.000580174,0.000580174,0.000580174
32,4430.68,0.97193,0.8116,1.22356,0.91791,0.94336,0.95968,0.78799,0.80098,0.49713,1.0643,0.00055188,0.00055188,0.00055188
33,4565.2,0.96356,0.7973,1.21596,0.90874,0.9572,0.96629,0.79619,0.7921,0.47154,1.05447,0.000523586,0.000523586,0.000523586
34,4699.86,0.96207,0.7941,1.21767,0.90585,0.96584,0.9674,0.80201,0.78091,0.46372,1.0526,0.000495291,0.000495291,0.000495291
35,4834.48,0.94409,0.77922,1.20165,0.92729,0.95878,0.96633,0.79954,0.78854,0.47173,1.05549,0.000466997,0.000466997,0.000466997
36,4971.05,0.93423,0.76305,1.19534,0.92518,0.92963,0.96715,0.80016,0.78515,0.46862,1.05751,0.000438703,0.000438703,0.000438703
37,5105.69,0.92937,0.7544,1.1973,0.9453,0.91376,0.966,0.80333,0.77432,0.47072,1.04632,0.000410409,0.000410409,0.000410409
38,5240.19,0.92455,0.74887,1.19251,0.92459,0.94341,0.96908,0.80584,0.77348,0.46082,1.04013,0.000382115,0.000382115,0.000382115
39,5374.6,0.91385,0.73957,1.18691,0.95334,0.94158,0.97032,0.81043,0.76858,0.45621,1.04255,0.00035382,0.00035382,0.00035382
40,5518.58,0.91115,0.7315,1.18618,0.91825,0.95164,0.96679,0.80177,0.77592,0.46936,1.04847,0.000325526,0.000325526,0.000325526
41,5677.09,0.81132,0.49381,1.14128,0.91508,0.95506,0.96752,0.80231,0.77005,0.45042,1.04194,0.000297232,0.000297232,0.000297232
