epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3371.41,0.94165,0.82952,1.17398,0.92554,0.89196,0.9429,0.73083,0.88564,0.56418,1.0909,0.005842,0.005842,0.005842
44,3449.83,0.93783,0.81355,1.17381,0.91809,0.90033,0.9311,0.73278,0.89644,0.61855,1.11188,0.005743,0.005743,0.005743
45,3528.09,0.93588,0.81079,1.1694,0.9282,0.89838,0.93409,0.73688,0.87373,0.57954,1.09499,0.005644,0.005644,0.005644
46,3606.19,0.9223,0.80861,1.15947,0.91603,0.89381,0.9299,0.73871,0.87973,0.58896,1.08773,0.005545,0.005545,0.005545
47,3684.13,0.91739,0.80348,1.16147,0.94312,0.89487,0.9416,0.74237,0.88513,0.53445,1.09457,0.005446,0.005446,0.005446
48,3762.06,0.90873,0.8,1.15751,0.94042,0.91027,0.9479,0.74264,0.87578,0.53491,1.09495,0.005347,0.005347,0.005347
49,3840.3,0.90672,0.78272,1.15333,0.93095,0.90913,0.94662,0.751,0.8593,0.53744,1.08647,0.005248,0.005248,0.005248
50,3918.46,0.90366,0.78982,1.14808,0.93354,0.90777,0.93636,0.74272,0.85998,0.54341,1.09597,0.005149,0.005149,0.005149
51,3996.53,0.90521,0.76144,1.15287,0.93179,0.92616,0.94484,0.74721,0.87124,0.51474,1.09508,0.00505,0.00505,0.00505
52,4074.6,0.89787,0.77088,1.14779,0.92697,0.9161,0.94833,0.74621,0.88061,0.5096,1.09982,0.004951,0.004951,0.004951
53,4152.97,0.87636,0.74137,1.13342,0.92365,0.91489,0.93829,0.74648,0.86268,0.5142,1.07571,0.004852,0.004852,0.004852
54,4231.41,0.89131,0.75603,1.14319,0.93912,0.91665,0.94388,0.74272,0.87356,0.50656,1.0951,0.004753,0.004753,0.004753
55,4309.71,0.87382,0.74009,1.13005,0.95068,0.91522,0.95649,0.76283,0.85674,0.47447,1.08436,0.004654,0.004654,0.004654
56,4388.07,0.86785,0.73232,1.12817,0.94459,0.92726,0.95228,0.75517,0.85424,0.49922,1.07298,0.004555,0.004555,0.004555
57,4466.03,0.85968,0.71312,1.1254,0.93195,0.92961,0.94593,0.75957,0.84821,0.5113,1.078,0.004456,0.004456,0.004456
58,4544.47,0.85877,0.71481,1.12539,0.93965,0.91778,0.94648,0.76339,0.84127,0.50903,1.06995,0.004357,0.004357,0.004357
59,4622.74,0.8546,0.71274,1.1165,0.95019,0.91741,0.94937,0.76288,0.8398,0.51539,1.07185,0.004258,0.004258,0.004258
60,4700.85,0.84534,0.70596,1.11739,0.93905,0.91768,0.9481,0.75661,0.84874,0.51446,1.07566,0.004159,0.004159,0.004159
61,4778.89,0.84652,0.69045,1.11218,0.9309,0.92613,0.94487,0.75317,0.85379,0.51744,1.07746,0.00406,0.00406,0.00406
62,4857.59,0.83872,0.68322,1.10689,0.93714,0.91946,0.94689,0.75963,0.83242,0.47492,1.06272,0.003961,0.003961,0.003961
63,4935.84,0.83056,0.68716,1.10571,0.96137,0.90852,0.95061,0.75833,0.84832,0.47364,1.07705,0.003862,0.003862,0.003862
64,5014.01,0.82286,0.66863,1.1073,0.93672,0.89386,0.94662,0.76175,0.86611,0.4955,1.09233,0.003763,0.003763,0.003763
65,5092.15,0.83407,0.67874,1.10846,0.93665,0.93192,0.955,0.76178,0.85278,0.47201,1.08823,0.003664,0.003664,0.003664
66,5170.41,0.8173,0.66632,1.10004,0.95171,0.90531,0.95245,0.75402,0.85403,0.46925,1.08115,0.003565,0.003565,0.003565
67,5248.41,0.8152,0.67708,1.10155,0.9499,0.92941,0.95508,0.75729,0.85031,0.45699,1.08176,0.003466,0.003466,0.003466
68,5326.7,0.80606,0.66001,1.09451,0.94545,0.92585,0.95228,0.75744,0.84505,0.46986,1.07962,0.003367,0.003367,0.003367
69,5404.93,0.79127,0.64355,1.08796,0.95379,0.9204,0.94941,0.76185,0.85316,0.47082,1.08154,0.003268,0.003268,0.003268
70,5483.06,0.78859,0.62615,1.08391,0.93791,0.92791,0.94779,0.767,0.83706,0.48367,1.07416,0.003169,0.003169,0.003169
71,5561.22,0.79288,0.64822,1.08939,0.95066,0.90503,0.95323,0.7647,0.84465,0.48333,1.07648,0.00307,0.00307,0.00307
72,5639.6,0.77627,0.62639,1.07839,0.93963,0.92032,0.9523,0.7623,0.84225,0.47652,1.08327,0.002971,0.002971,0.002971
73,5717.91,0.77436,0.61986,1.077,0.94931,0.9085,0.95261,0.76936,0.82325,0.45567,1.07332,0.002872,0.002872,0.002872
74,5795.89,0.77392,0.61117,1.07487,0.95035,0.91668,0.94874,0.76906,0.828,0.45338,1.07297,0.002773,0.002773,0.002773
75,5874.13,0.76795,0.6086,1.07247,0.94044,0.92781,0.95231,0.7759,0.8254,0.44636,1.07103,0.002674,0.002674,0.002674
76,5952.45,0.76992,0.59846,1.07105,0.92902,0.93319,0.95257,0.77373,0.83105,0.44986,1.0772,0.002575,0.002575,0.002575
77,6030.77,0.75431,0.58968,1.0677,0.92847,0.92964,0.9446,0.76217,0.84111,0.46122,1.07647,0.002476,0.002476,0.002476
78,6108.86,0.75498,0.59383,1.06728,0.95441,0.91757,0.94862,0.76767,0.84469,0.46335,1.09105,0.002377,0.002377,0.002377
79,6187.1,0.75869,0.60282,1.06932,0.92758,0.92355,0.94345,0.76608,0.84566,0.48372,1.0943,0.002278,0.002278,0.002278
80,6265.16,0.74272,0.58217,1.05801,0.93794,0.93125,0.94931,0.77422,0.83308,0.4719,1.08457,0.002179,0.002179,0.002179
81,6343.22,0.73795,0.56967,1.05535,0.92555,0.92928,0.94806,0.76865,0.83886,0.46754,1.08998,0.00208,0.00208,0.00208
82,6421.01,0.73657,0.55567,1.0554,0.93826,0.92379,0.94784,0.76927,0.84429,0.46731,1.09731,0.001981,0.001981,0.001981
83,6499.2,0.73248,0.56774,1.04983,0.93266,0.92832,0.94789,0.77212,0.8217,0.46225,1.08689,0.001882,0.001882,0.001882
84,6577.16,0.72403,0.55598,1.04684,0.94935,0.91113,0.94912,0.77234,0.8263,0.47354,1.08799,0.001783,0.001783,0.001783
85,6654.93,0.72321,0.55101,1.04774,0.93538,0.92212,0.94791,0.77038,0.83815,0.47672,1.09568,0.001684,0.001684,0.001684
86,6733.14,0.72437,0.56261,1.04874,0.94805,0.92103,0.95125,0.7733,0.82792,0.46436,1.08468,0.001585,0.001585,0.001585
87,6811.44,0.70395,0.55101,1.04068,0.94919,0.91642,0.94804,0.7762,0.82258,0.47354,1.08316,0.001486,0.001486,0.001486
88,6889.84,0.70573,0.54619,1.04526,0.95095,0.91375,0.94497,0.77222,0.83133,0.46705,1.09144,0.001387,0.001387,0.001387
89,6967.91,0.6982,0.53424,1.0421,0.9427,0.91465,0.9435,0.76885,0.83884,0.46609,1.0961,0.001288,0.001288,0.001288
90,7046.21,0.69763,0.53409,1.04004,0.93982,0.91847,0.9469,0.77543,0.84149,0.4687,1.09448,0.001189,0.001189,0.001189
91,7149.23,0.5733,0.339,0.96709,0.94799,0.91468,0.94762,0.77417,0.83413,0.46064,1.09095,0.00109,0.00109,0.00109
92,7226.67,0.56298,0.32763,0.96566,0.95667,0.91738,0.94875,0.77496,0.83264,0.45512,1.0894,0.000991,0.000991,0.000991
93,7303.98,0.55112,0.31754,0.95677,0.95634,0.92314,0.95076,0.77767,0.83115,0.46093,1.08949,0.000892,0.000892,0.000892
94,7381.36,0.54157,0.31452,0.95125,0.94903,0.9216,0.94817,0.77527,0.82429,0.46683,1.08469,0.000793,0.000793,0.000793
95,7458.96,0.53776,0.30977,0.95229,0.95079,0.91503,0.94946,0.77403,0.82083,0.46156,1.08563,0.000694,0.000694,0.000694
96,7536.5,0.53247,0.29819,0.9476,0.95418,0.91306,0.94836,0.77427,0.81587,0.45474,1.0868,0.000595,0.000595,0.000595
97,7613.96,0.52244,0.29441,0.93777,0.94613,0.91505,0.94835,0.7737,0.81685,0.45314,1.08884,0.000496,0.000496,0.000496
98,7691.27,0.51586,0.29677,0.9372,0.94053,0.92886,0.94754,0.77501,0.82003,0.45824,1.09055,0.000397,0.000397,0.000397
99,7768.7,0.51497,0.29147,0.93788,0.9535,0.91378,0.94737,0.77434,0.81923,0.4651,1.09079,0.000298,0.000298,0.000298
100,7846.24,0.50851,0.2886,0.93872,0.95113,0.9207,0.94718,0.77573,0.81706,0.46272,1.08882,0.000199,0.000199,0.000199
