epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.7052,1.38191,3.40967,1.54753,0.44671,0.4606,0.4636,0.27359,1.27881,3.86976,1.46559,0.000475154,0.000475154,0.000475154
2,164.473,1.4812,2.47575,1.6109,0.41999,0.40593,0.37306,0.18065,1.65184,2.79685,1.75625,0.000932648,0.000932648,0.000932648
3,246.61,1.46732,2.14678,1.58826,0.38104,0.44569,0.39607,0.21393,1.5699,2.79198,1.75661,0.00137128,0.00137128,0.00137128
4,327.19,1.43602,1.95188,1.55733,0.66957,0.54045,0.61021,0.3747,1.34041,2.39258,1.52232,0.00134412,0.00134412,0.00134412
5,408.845,1.39244,1.83155,1.51616,0.68744,0.63539,0.70674,0.45667,1.21403,1.6808,1.41023,0.00131582,0.00131582,0.00131582
6,491.436,1.32757,1.66796,1.47039,0.74001,0.70387,0.76169,0.47575,1.23686,1.41033,1.43011,0.00128753,0.00128753,0.00128753
7,571.842,1.29877,1.57341,1.45382,0.72738,0.74335,0.77397,0.51761,1.17239,1.29978,1.38398,0.00125923,0.00125923,0.00125923
8,652.112,1.25677,1.49595,1.4263,0.8325,0.74088,0.82324,0.57988,1.12186,1.10599,1.31874,0.00123094,0.00123094,0.00123094
9,733.159,1.21556,1.42507,1.39648,0.78499,0.74021,0.80018,0.57204,1.06887,1.23022,1.27844,0.00120265,0.00120265,0.00120265
10,814.821,1.2032,1.37234,1.3895,0.7942,0.83386,0.86028,0.62683,1.05031,0.97623,1.26944,0.00117435,0.00117435,0.00117435
11,895.522,1.19212,1.31386,1.37964,0.78284,0.83917,0.86672,0.61896,1.03725,1.0191,1.25164,0.00114606,0.00114606,0.00114606
12,975.675,1.1533,1.27597,1.34694,0.88452,0.81791,0.89978,0.64713,1.017,0.87695,1.2312,0.00111776,0.00111776,0.00111776
13,1054.74,1.13189,1.19694,1.32503,0.90885,0.82601,0.90614,0.65399,0.97293,0.87733,1.19428,0.00108947,0.00108947,0.00108947
14,1134.71,1.12413,1.19496,1.32406,0.88747,0.83101,0.904,0.64322,1.04202,0.86068,1.22274,0.00106118,0.00106118,0.00106118
15,1213.64,1.11439,1.17648,1.31978,0.91359,0.85372,0.91141,0.66476,1.01605,0.80829,1.22588,0.00103288,0.00103288,0.00103288
16,1292.52,1.10979,1.14607,1.31392,0.88533,0.83909,0.89592,0.66527,1.00413,0.88807,1.1958,0.00100459,0.00100459,0.00100459
17,1371.55,1.07479,1.09049,1.29192,0.86487,0.8291,0.87922,0.65691,0.97888,1.00125,1.18232,0.000976293,0.000976293,0.000976293
18,1450.32,1.05522,1.06507,1.27713,0.92663,0.86534,0.92773,0.69351,0.96017,0.73883,1.17162,0.000947999,0.000947999,0.000947999
19,1529.13,1.03765,1.03269,1.25935,0.90137,0.86497,0.91838,0.68876,0.9626,0.74424,1.15887,0.000919704,0.000919704,0.000919704
20,1607.89,1.02473,1.03233,1.25136,0.91972,0.85921,0.92876,0.70668,0.92859,0.71891,1.14978,0.00089141,0.00089141,0.00089141
21,1686.82,1.02382,0.99773,1.24922,0.89822,0.86799,0.92227,0.69192,0.93754,0.73995,1.15119,0.000863116,0.000863116,0.000863116
22,1765.63,1.00665,0.96391,1.24074,0.92505,0.88881,0.93468,0.7017,0.95466,0.72123,1.1618,0.000834822,0.000834822,0.000834822
23,1844.31,1.00394,0.95516,1.23833,0.92881,0.89474,0.93498,0.72138,0.88716,0.6896,1.13132,0.000806528,0.000806528,0.000806528
24,1923.12,0.97179,0.92306,1.21797,0.92701,0.90792,0.9386,0.71875,0.90806,0.63523,1.14182,0.000778233,0.000778233,0.000778233
25,2003.12,0.98481,0.92588,1.22859,0.91116,0.89468,0.9362,0.72985,0.88461,0.64386,1.10817,0.000749939,0.000749939,0.000749939
26,2082.01,0.96356,0.8972,1.20918,0.92856,0.88782,0.9385,0.73758,0.90705,0.65244,1.12791,0.000721645,0.000721645,0.000721645
27,2160.75,0.95502,0.8835,1.20493,0.9068,0.91407,0.92848,0.71243,0.93041,0.67374,1.13802,0.000693351,0.000693351,0.000693351
28,2239.75,0.95158,0.86305,1.19831,0.92213,0.88065,0.94062,0.73677,0.84879,0.62149,1.08378,0.000665057,0.000665057,0.000665057
29,2318.32,0.93391,0.84985,1.19104,0.93409,0.91279,0.94412,0.73972,0.87318,0.58015,1.11038,0.000636762,0.000636762,0.000636762
30,2397.21,0.93242,0.83933,1.18718,0.94812,0.91732,0.94626,0.73978,0.88562,0.60625,1.1084,0.000608468,0.000608468,0.000608468
31,2476.29,0.91397,0.83832,1.18018,0.94231,0.88342,0.93527,0.7325,0.87048,0.64293,1.09782,0.000580174,0.000580174,0.000580174
32,2555.12,0.91303,0.82622,1.17907,0.95237,0.91776,0.94527,0.73753,0.90344,0.57429,1.10971,0.00055188,0.00055188,0.00055188
33,2633.95,0.88557,0.78976,1.15735,0.9269,0.91925,0.94047,0.74336,0.86726,0.5725,1.08709,0.000523586,0.000523586,0.000523586
34,2714.02,0.88911,0.77337,1.16361,0.93434,0.90157,0.9372,0.74712,0.85081,0.58141,1.09148,0.000495291,0.000495291,0.000495291
35,2792.73,0.87546,0.75514,1.14963,0.89958,0.90285,0.93046,0.74136,0.84115,0.63991,1.08234,0.000466997,0.000466997,0.000466997
36,2871.72,0.87005,0.76608,1.15468,0.94118,0.88373,0.94482,0.74782,0.85461,0.55586,1.09451,0.000438703,0.000438703,0.000438703
37,2950.6,0.84847,0.72929,1.13964,0.93731,0.91343,0.94825,0.75482,0.86113,0.55449,1.08925,0.000410409,0.000410409,0.000410409
38,3030.5,0.84634,0.71681,1.13719,0.95644,0.90793,0.9524,0.75563,0.85491,0.51932,1.08192,0.000382115,0.000382115,0.000382115
39,3109.19,0.84203,0.71475,1.13764,0.94155,0.90437,0.94456,0.76863,0.82706,0.5402,1.07099,0.00035382,0.00035382,0.00035382
40,3187.97,0.82023,0.69074,1.11935,0.94058,0.927,0.95204,0.76852,0.84864,0.53419,1.08664,0.000325526,0.000325526,0.000325526
41,3288.03,0.71206,0.45926,1.05918,0.94753,0.91587,0.95221,0.76249,0.8541,0.50559,1.08427,0.000297232,0.000297232,0.000297232
42,3365.88,0.69006,0.43302,1.051,0.94174,0.91708,0.94544,0.75488,0.84313,0.53985,1.07953,0.000268938,0.000268938,0.000268938
43,3443.79,0.6779,0.42206,1.03319,0.96162,0.9212,0.95056,0.76191,0.84068,0.52191,1.07898,0.000240644,0.000240644,0.000240644
44,3521.73,0.66823,0.41292,1.02876,0.95612,0.92693,0.95358,0.76567,0.84157,0.50137,1.07869,0.000212349,0.000212349,0.000212349
45,3599.68,0.64566,0.39068,1.0148,0.95215,0.91566,0.95188,0.7702,0.83733,0.49584,1.07586,0.000184055,0.000184055,0.000184055
46,3677.8,0.6355,0.3875,1.01294,0.95697,0.91339,0.95248,0.77209,0.8257,0.49234,1.0737,0.000155761,0.000155761,0.000155761
47,3755.82,0.62956,0.38018,1.00966,0.95736,0.9077,0.95404,0.77741,0.82974,0.49573,1.079,0.000127467,0.000127467,0.000127467
48,3833.8,0.61631,0.3671,1.00415,0.94918,0.92576,0.95736,0.78261,0.81497,0.47399,1.06902,9.91726e-05,9.91726e-05,9.91726e-05
49,3911.6,0.61397,0.3605,0.99979,0.95837,0.92374,0.956,0.78412,0.81561,0.48421,1.0697,7.08784e-05,7.08784e-05,7.08784e-05
50,3989.67,0.58799,0.35532,0.98051,0.95253,0.92989,0.95764,0.7865,0.81607,0.48314,1.06848,4.25842e-05,4.25842e-05,4.25842e-05
